chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
1.25,0.97,0.39,0.59,0.25,0.62,0.19,0.13,0.15,0.60,0.40,0.77,0.26,0.21,0.73,0.69
1.26,0.98,0.40,0.59,0.25,0.63,0.19,0.13,0.15,0.61,0.41,0.77,0.26,0.22,0.73,0.69
1.28,0.99,0.40,0.60,0.26,0.64,0.19,0.13,0.15,0.61,0.41,0.78,0.27,0.22,0.74,0.70
1.30,1.00,0.40,0.60,0.26,0.64,0.19,0.13,0.15,0.62,0.42,0.79,0.27,0.22,0.75,0.71
1.31,1.01,0.41,0.61,0.26,0.65,0.19,0.13,0.16,0.63,0.42,0.80,0.27,0.22,0.76,0.72
1.33,1.03,0.41,0.61,0.27,0.66,0.20,0.13,0.16,0.63,0.43,0.81,0.27,0.23,0.77,0.72
1.35,1.04,0.41,0.62,0.27,0.66,0.20,0.13,0.16,0.64,0.43,0.82,0.28,0.23,0.78,0.73
1.37,1.05,0.42,0.63,0.27,0.67,0.20,0.13,0.16,0.64,0.44,0.82,0.28,0.23,0.79,0.74
1.38,1.06,0.42,0.63,0.27,0.67,0.20,0.14,0.16,0.65,0.44,0.83,0.28,0.24,0.80,0.75
1.40,1.07,0.42,0.64,0.28,0.68,0.20,0.14,0.17,0.66,0.45,0.84,0.28,0.24,0.81,0.75
1.42,1.09,0.43,0.64,0.28,0.69,0.21,0.14,0.17,0.66,0.45,0.85,0.29,0.24,0.81,0.76
1.43,1.10,0.43,0.65,0.28,0.69,0.21,0.14,0.17,0.67,0.46,0.86,0.29,0.24,0.82,0.77
1.45,1.11,0.43,0.65,0.28,0.70,0.21,0.14,0.17,0.68,0.46,0.87,0.29,0.25,0.83,0.78
1.47,1.12,0.44,0.66,0.29,0.71,0.21,0.14,0.17,0.68,0.47,0.87,0.30,0.25,0.84,0.78
1.48,1.13,0.44,0.67,0.29,0.71,0.21,0.14,0.18,0.69,0.47,0.88,0.30,0.25,0.85,0.79
1.50,1.15,0.44,0.67,0.29,0.72,0.22,0.15,0.18,0.69,0.48,0.89,0.30,0.25,0.86,0.80
1.52,1.16,0.45,0.68,0.30,0.73,0.22,0.15,0.18,0.70,0.48,0.90,0.30,0.26,0.87,0.81
1.54,1.17,0.45,0.68,0.30,0.73,0.22,0.15,0.18,0.71,0.49,0.91,0.31,0.26,0.88,0.81
1.55,1.18,0.45,0.69,0.30,0.74,0.22,0.15,0.18,0.71,0.49,0.92,0.31,0.26,0.88,0.82
1.57,1.19,0.46,0.70,0.30,0.75,0.22,0.15,0.18,0.72,0.50,0.92,0.31,0.26,0.89,0.83
1.59,1.21,0.46,0.70,0.31,0.75,0.22,0.15,0.19,0.73,0.50,0.93,0.31,0.27,0.90,0.83
1.60,1.22,0.46,0.71,0.31,0.76,0.23,0.15,0.19,0.73,0.51,0.94,0.32,0.27,0.91,0.84
1.62,1.23,0.47,0.71,0.31,0.77,0.23,0.15,0.19,0.74,0.51,0.95,0.32,0.27,0.92,0.85
1.64,1.24,0.47,0.72,0.32,0.77,0.23,0.16,0.19,0.75,0.52,0.96,0.32,0.27,0.93,0.86
1.65,1.25,0.47,0.72,0.32,0.78,0.23,0.16,0.19,0.75,0.52,0.97,0.32,0.28,0.94,0.86
1.67,1.27,0.48,0.73,0.32,0.79,0.23,0.16,0.20,0.76,0.52,0.97,0.33,0.28,0.95,0.87
1.69,1.28,0.48,0.74,0.32,0.79,0.24,0.16,0.20,0.76,0.53,0.98,0.33,0.28,0.96,0.88
1.71,1.29,0.48,0.74,0.33,0.80,0.24,0.16,0.20,0.77,0.53,0.99,0.33,0.28,0.96,0.89
1.72,1.30,0.49,0.75,0.33,0.80,0.24,0.16,0.20,0.78,0.54,1.00,0.33,0.29,0.97,0.89
1.74,1.31,0.49,0.75,0.33,0.81,0.24,0.16,0.20,0.78,0.54,1.01,0.34,0.29,0.98,0.90
1.76,1.33,0.49,0.76,0.34,0.82,0.24,0.16,0.21,0.79,0.55,1.02,0.34,0.29,0.99,0.91
1.77,1.34,0.50,0.76,0.34,0.82,0.24,0.17,0.21,0.80,0.55,1.02,0.34,0.29,1.00,0.92
1.79,1.35,0.50,0.77,0.34,0.83,0.25,0.17,0.21,0.80,0.56,1.03,0.34,0.30,1.01,0.92
1.81,1.36,0.50,0.78,0.34,0.84,0.25,0.17,0.21,0.81,0.56,1.04,0.35,0.30,1.02,0.93
1.82,1.37,0.51,0.78,0.35,0.84,0.25,0.17,0.21,0.82,0.57,1.05,0.35,0.30,1.03,0.94
1.84,1.39,0.51,0.79,0.35,0.85,0.25,0.17,0.21,0.82,0.57,1.06,0.35,0.30,1.03,0.94
1.86,1.40,0.51,0.79,0.35,0.86,0.25,0.17,0.22,0.83,0.58,1.07,0.36,0.31,1.04,0.95
1.88,1.41,0.52,0.80,0.35,0.86,0.26,0.17,0.22,0.83,0.58,1.07,0.36,0.31,1.05,0.96
1.89,1.42,0.52,0.81,0.36,0.87,0.26,0.18,0.22,0.84,0.59,1.08,0.36,0.31,1.06,0.97
1.91,1.43,0.52,0.81,0.36,0.88,0.26,0.18,0.22,0.85,0.59,1.09,0.36,0.31,1.07,0.97
1.93,1.45,0.53,0.82,0.36,0.88,0.26,0.18,0.22,0.85,0.60,1.10,0.37,0.32,1.08,0.98
1.94,1.46,0.53,0.82,0.37,0.89,0.26,0.18,0.23,0.86,0.60,1.11,0.37,0.32,1.09,0.99
1.96,1.47,0.53,0.83,0.37,0.90,0.27,0.18,0.23,0.87,0.61,1.12,0.37,0.32,1.10,1.00
1.98,1.48,0.54,0.83,0.37,0.90,0.27,0.18,0.23,0.87,0.61,1.12,0.37,0.32,1.11,1.00
1.99,1.49,0.54,0.84,0.37,0.91,0.27,0.18,0.23,0.88,0.62,1.13,0.38,0.33,1.11,1.01
2.01,1.51,0.54,0.85,0.38,0.92,0.27,0.18,0.23,0.88,0.62,1.14,0.38,0.33,1.12,1.02
2.03,1.52,0.55,0.85,0.38,0.92,0.27,0.19,0.24,0.89,0.63,1.15,0.38,0.33,1.13,1.03
2.05,1.53,0.55,0.86,0.38,0.93,0.27,0.19,0.24,0.90,0.63,1.16,0.38,0.33,1.14,1.03
2.07,1.54,0.55,0.87,0.39,0.94,0.28,0.19,0.24,0.91,0.64,1.18,0.39,0.34,1.15,1.05
2.09,1.55,0.56,0.88,0.39,0.95,0.28,0.19,0.24,0.92,0.65,1.19,0.40,0.34,1.17,1.07
2.11,1.56,0.57,0.89,0.39,0.96,0.29,0.19,0.24,0.93,0.66,1.21,0.41,0.35,1.18,1.08
2.13,1.57,0.57,0.90,0.40,0.97,0.29,0.20,0.25,0.94,0.67,1.23,0.41,0.36,1.20,1.10
2.15,1.58,0.58,0.91,0.40,0.98,0.29,0.20,0.25,0.95,0.68,1.25,0.42,0.36,1.21,1.12
2.17,1.59,0.58,0.92,0.41,0.99,0.30,0.20,0.25,0.96,0.69,1.27,0.43,0.37,1.23,1.13
2.19,1.60,0.59,0.93,0.41,1.00,0.30,0.20,0.25,0.97,0.70,1.29,0.43,0.37,1.24,1.15
2.21,1.61,0.59,0.94,0.41,1.01,0.30,0.20,0.25,0.99,0.71,1.31,0.44,0.38,1.26,1.17
2.22,1.62,0.60,0.95,0.42,1.02,0.31,0.21,0.26,1.00,0.72,1.33,0.45,0.38,1.27,1.18
2.24,1.63,0.60,0.96,0.42,1.03,0.31,0.21,0.26,1.01,0.73,1.35,0.46,0.39,1.28,1.20
2.26,1.64,0.61,0.97,0.43,1.04,0.31,0.21,0.26,1.02,0.74,1.37,0.46,0.40,1.30,1.22
2.28,1.65,0.62,0.98,0.43,1.05,0.32,0.21,0.26,1.03,0.75,1.38,0.47,0.40,1.31,1.23
2.30,1.66,0.62,0.99,0.43,1.06,0.32,0.21,0.26,1.04,0.76,1.40,0.48,0.41,1.33,1.25
2.32,1.67,0.63,1.00,0.44,1.07,0.33,0.22,0.27,1.05,0.77,1.42,0.48,0.41,1.34,1.27
2.34,1.68,0.63,1.01,0.44,1.09,0.33,0.22,0.27,1.06,0.78,1.44,0.49,0.42,1.36,1.28
2.36,1.69,0.64,1.02,0.45,1.10,0.33,0.22,0.27,1.07,0.79,1.46,0.50,0.42,1.37,1.30
2.38,1.70,0.64,1.03,0.45,1.11,0.34,0.22,0.27,1.09,0.80,1.48,0.50,0.43,1.39,1.32
2.40,1.71,0.65,1.04,0.45,1.12,0.34,0.22,0.27,1.10,0.81,1.50,0.51,0.43,1.40,1.33
2.42,1.72,0.65,1.05,0.46,1.13,0.34,0.23,0.28,1.11,0.82,1.52,0.52,0.44,1.41,1.35
2.44,1.73,0.66,1.06,0.46,1.14,0.35,0.23,0.28,1.12,0.83,1.54,0.53,0.45,1.43,1.37
2.46,1.74,0.66,1.07,0.46,1.15,0.35,0.23,0.28,1.13,0.84,1.56,0.53,0.45,1.44,1.38
2.48,1.75,0.67,1.08,0.47,1.16,0.35,0.23,0.28,1.14,0.85,1.58,0.54,0.46,1.46,1.40
2.50,1.76,0.68,1.09,0.47,1.17,0.36,0.23,0.28,1.15,0.86,1.59,0.55,0.46,1.47,1.42
2.52,1.77,0.68,1.10,0.48,1.18,0.36,0.24,0.29,1.16,0.87,1.61,0.55,0.47,1.49,1.44
2.54,1.78,0.69,1.11,0.48,1.19,0.37,0.24,0.29,1.17,0.88,1.63,0.56,0.47,1.50,1.45
2.56,1.79,0.69,1.12,0.48,1.20,0.37,0.24,0.29,1.18,0.89,1.65,0.57,0.48,1.52,1.47
2.58,1.80,0.70,1.13,0.49,1.21,0.37,0.24,0.29,1.20,0.90,1.67,0.58,0.48,1.53,1.49
